---config@码表分类=主码-1
---config@码表别名= 符号编码
$ddcmd(ybkeyboard(<37.2><111>),Q拥抱)	oqyb
$ddcmd(ylkeyboard(<37.2><111>),Q月亮)	oqyl
$ddcmd(yiwkeyboard(<37.3><111>),Q疑问)	oqyw
$ddcmd(yunkeyboard(<37.3><111>),Q晕)	oqyy
$ddcmd(zjkeyboard(<37.2><111>),Q再见)	oqzj
$ddcmd(zhmkeyboard(<37.3><111>),Q咒骂)	oqvm
$ddcmd(zhemkeyboard(<37.4><111>),Q折磨)	oqvm
$ddcmd(zhqkeyboard(<37.3><111>),Q转圈)	oqvq
$ddcmd(zqkeyboard(<37.2><111>),Q足球)	oqzq
$ddcmd(ktkeyboard(<37.2><111>),Q磕头)	oqkt
$ddcmd(htkeyboard(<37.2><111>),Q回头)	oqht
$ddcmd(tshkeyboard(<37.3><111>),Q跳绳)	oqtu
$ddcmd(hshkeyboard(<37.3><111>),Q挥手)	oqhu
$ddcmd(jdkeyboard(<37.2><111>),Q激动)	oqjd
$ddcmd(jwkeyboard(<37.2><111>),Q街舞)	oqjw
$ddcmd(xwkeyboard(<37.2><111>),Q献吻)	oqxw
$ddcmd(qiaokeyboard(<37.4><111>),Q敲打)	oqqd
$ddcmd(qdkeyboard(<37.2><111>),Q糗)	oqqq
$ddcmd(zhhkeyboard(<37.3><111>),Q左哼哼)	oqhh
$ddcmd(yhhkeyboard(<37.3><111>),Q右哼哼)	oqhh
$ddcmd(wqkeyboard(<37.2><111>),Q委屈)	oqwq
$ddcmd(bskeyboard(<37.2><111>),Q鄙视)	oqbu
$ddcmd(hqkeyboard(<37.2><111>),Q哈欠)	oqhq
$ddcmd(yxkeyboard(<37.2><111>),Q阴险)	oqyx
$ddcmd(/xia,Q吓)	oqxx
$ddcmd(qqkeyboard(<37.2><111>),Q亲)	oqqb
$ddcmd(＠,＠)	ota
$ddcmd(α,α)	ota
$ddcmd(﹪,﹪)	otb
$ddcmd(β,β)	otb
$ddcmd(©,©)	otb
$ddcmd(²,²)	otb
$ddcmd(³,³)	otb
$ddcmd(℃,℃)	otc
$ddcmd(°,°)	otd
$ddcmd(＝,＝)	otd
$ddcmd(≠,≠)	otd
$ddcmd(≥,≥)	otd
$ddcmd(＞,＞)	otd
$ddcmd(′,′)	otf
$ddcmd(□,□)	otf
$ddcmd(■,■)	otf
$ddcmd(◇,◇)	otf
$ddcmd(◆,◆)	otf
$ddcmd(√,√)	otg
$ddcmd(γ,γ)	otg
$ddcmd(·,·)	otg
$ddcmd(＆,＆)	oth
$ddcmd(※,※)	oth
$ddcmd(×,×)	oti
$ddcmd(÷,÷)	oti
$ddcmd(＋,＋)	otj
$ddcmd(－,－)	otj
$ddcmd(±,±)	otj
$ddcmd(〓,〓)	otk
$ddcmd(m³,m³)	otl
$ddcmd(￡,￡)	otl
$ddcmd(﹋,﹋)	otl
$ddcmd(″,″)	otm
$ddcmd(﹩,﹩)	otm
$ddcmd(♂,♂)	otn
$ddcmd(♀,♀)	otn
$ddcmd(№,№)	otn
$ddcmd(€,€)	oto
$ddcmd(°,°)	oto
$ddcmd(㎡,㎡)	otp
$ddcmd(∏,∏)	otp
$ddcmd(‰,‰)	otq
$ddcmd(の,の)	otr
$ddcmd(∴,∴)	ots
$ddcmd(∵,∵)	ots
$ddcmd(℡,℡)	ott
$ddcmd(®,®)	otu
$ddcmd(™,™)	otu
$ddcmd(Φ,Φ)	otv
$ddcmd(㈱,㈱)	otv
$ddcmd(㊣,㊣)	otv
$ddcmd(∞,∞)	otw
$ddcmd(卍,卍)	otw
$ddcmd(卐,卐)	otw
$ddcmd(☆,☆)	otx
$ddcmd(★,★)	otx
$ddcmd(≤,≤)	otx
$ddcmd(＜,＜)	otx
$ddcmd(○,○)	oty
$ddcmd(●,●)	oty
$ddcmd(◎,◎)	oty
$ddcmd(℃,℃)	ouud
$ddcmd(凹,凹)	oxa
$ddcmd(百,百)	oxb
$ddcmd(白,白)	oxb
$ddcmd(八,八)	oxb
$ddcmd(卜,卜)	oxb
$ddcmd(匕,匕)	oxb
$ddcmd(卞,卞)	oxb
$ddcmd(不,不)	oxb
$ddcmd(巴,巴)	oxb
$ddcmd(本,本)	oxb
$ddcmd(必,必)	oxb
$ddcmd(丙,丙)	oxb
$ddcmd(半,半)	oxb
$ddcmd(办,办)	oxb
$ddcmd(寸,寸)	oxc
$ddcmd(才,才)	oxc
$ddcmd(册,册)	oxc
$ddcmd(匆,匆)	oxc
$ddcmd(大,大)	oxd
$ddcmd(丁,丁)	oxd
$ddcmd(刀,刀)	oxd
$ddcmd(歹,歹)	oxd
$ddcmd(刁,刁)	oxd
$ddcmd(东,东)	oxd
$ddcmd(丹,丹)	oxd
$ddcmd(电,电)	oxd
$ddcmd(氐,氐)	oxd
$ddcmd(旦,旦)	oxd
$ddcmd(二,二)	oxe
$ddcmd(耳,耳)	oxe
$ddcmd(儿,儿)	oxe
$ddcmd(而,而)	oxe
$ddcmd(非,非)	oxf
$ddcmd(方,方)	oxf
$ddcmd(飞,飞)	oxf
$ddcmd(夫,夫)	oxf
$ddcmd(凡,凡)	oxf
$ddcmd(甫,甫)	oxf
$ddcmd(弗,弗)	oxf
$ddcmd(乏,乏)	oxf
$ddcmd(丰,丰)	oxf
$ddcmd(广,广)	oxg
$ddcmd(弓,弓)	oxg
$ddcmd(戈,戈)	oxg
$ddcmd(工,工)	oxg
$ddcmd(瓜,瓜)	oxg
$ddcmd(干,干)	oxg
$ddcmd(个,个)	oxg
$ddcmd(甘,甘)	oxg
$ddcmd(丐,丐)	oxg
$ddcmd(果,果)	oxg
$ddcmd(更,更)	oxg
$ddcmd(亘,亘)	oxg
$ddcmd(禾,禾)	oxh
$ddcmd(户,户)	oxh
$ddcmd(互,互)	oxh
$ddcmd(乎,乎)	oxh
$ddcmd(火,火)	oxh
$ddcmd(川,川)	oxi
$ddcmd(厂,厂)	oxi
$ddcmd(车,车)	oxi
$ddcmd(长,长)	oxi
$ddcmd(叉,叉)	oxi
$ddcmd(尺,尺)	oxi
$ddcmd(丑,丑)	oxi
$ddcmd(臣,臣)	oxi
$ddcmd(成,成)	oxi
$ddcmd(垂,垂)	oxi
$ddcmd(斥,斥)	oxi
$ddcmd(串,串)	oxi
$ddcmd(产,产)	oxi
$ddcmd(出,出)	oxi
$ddcmd(巾,巾)	oxj
$ddcmd(几,几)	oxj
$ddcmd(九,九)	oxj
$ddcmd(斤,斤)	oxj
$ddcmd(久,久)	oxj
$ddcmd(巨,巨)	oxj
$ddcmd(己,己)	oxj
$ddcmd(井,井)	oxj
$ddcmd(及,及)	oxj
$ddcmd(夹,夹)	oxj
$ddcmd(甲,甲)	oxj
$ddcmd(臼,臼)	oxj
$ddcmd(韭,韭)	oxj
$ddcmd(戋,戋)	oxj
$ddcmd(柬,柬)	oxj
$ddcmd(击,击)	oxj
$ddcmd(口,口)	oxk
$ddcmd(开,开)	oxk
$ddcmd(亏,亏)	oxk
$ddcmd(了,了)	oxl
$ddcmd(力,力)	oxl
$ddcmd(乐,乐)	oxl
$ddcmd(来,来)	oxl
$ddcmd(良,良)	oxl
$ddcmd(两,两)	oxl
$ddcmd(里,里)	oxl
$ddcmd(吏,吏)	oxl
$ddcmd(耒,耒)	oxl
$ddcmd(卵,卵)	oxl
$ddcmd(丽,丽)	oxl
$ddcmd(木,木)	oxm
$ddcmd(毛,毛)	oxm
$ddcmd(米,米)	oxm
$ddcmd(门,门)	oxm
$ddcmd(马,马)	oxm
$ddcmd(皿,皿)	oxm
$ddcmd(末,末)	oxm
$ddcmd(灭,灭)	oxm
$ddcmd(母,母)	oxm
$ddcmd(民,民)	oxm
$ddcmd(么,么)	oxm
$ddcmd(面,面)	oxm
