---config@码表分类=主码-4
---config@码表别名= 增补字
纪念日	jnri
娇气	jnqi
箭镞	jmzu
健硕	jmuo
奸商	jmuh
检票	jmpn
键帽	jmmc
今明两年	jmln
简练	jmlm
间或	jmho
减分	jmff
简明扼要	jmey
见底	jmdi
见地	jmde
剪刀	jmdc
将至	jlvi
吉林省	jlug
姜蒜	jlsr
匠人	jlrf
讲求	jlqq
戒律清规	jlqg
积劳成疾	jlij
浆糊	jlhu
精力过剩	jlgu
降格	jlge
降幅	jlfu
加勒比	jlbi
接力棒	jlbh
精油	jkyz
经用	jkys
镜像	jkxl
精细	jkxi
敬重	jkis
艰苦卓绝	jkvj
净水	jkuv
竞速	jksu
艰苦朴素	jkps
交口称赞	jkiz
缄口不言	jkby
经济危机	jjwj
结结实实	jjuu
经济实惠	jjuh
竞技体育	jjty
嫁鸡随鸡，嫁狗随狗	jjsg
急急如律令	jjrl
积极进取	jjjq
加减法	jjfa
记性	jixk
挤占	jivj
击杀	jiua
精诚团结	jitj
精诚所至	jisv
积弱	jiro
绝处逢生	jifu
荠菜	jicd
家常便饭	jibf
积毁销骨	jhxg
姜还是老的辣	jhul
酒后吐真言	jhty
几何图形	jhtx
监护人	jhrf
饥寒起盗心	jhqx
江湖骗子	jhpz
计划没有变化快	jhmk
就好了	jhle
菊花茶	jhia
简化汉字	jhhz
计划赶不上变化	jhgh
京杭大运河	jhdh
家花不如野花香	jhbx
计划不如变化快	jhbk
就好比	jhbi
巾帼英雄	jgyx
技高一筹	jgyi
军国主义	jgvy
金光闪闪	jguu
见鬼说鬼话	jguh
举国同庆	jgtq
机关算尽太聪明	jgsm
结果如何	jgrh
几个钱	jgqm
举个例	jgli
几个来回	jglh
加工厂	jgih
几个回合	jghg
几个方面	jgfm
巾帼不让须眉	jgbm
疾风迅雷	jfxl
绝非善类	jful
疾风扫落叶	jfsx
绝非偶然	jfor
街坊邻居	jflj
见缝就钻	jfjz
结发夫妻	jffq
奖罚分明	jffm
疾风暴雨	jfby
吉尔吉斯斯坦	jejt
筋斗云	jdyy
就地正法	jdvf
剪刀石头布	jddb
鸡蛋碰石头	jdpt
讲道理	jdli
既当爹又当妈	jddm
旧的不去，新的不来	jdbl
饥餐渴饮	jcky
酒不醉人人自醉	jbzz
简便易行	jbyh
锦绣	jbxq
进项	jbxl
久病无孝子	jbmz
戒备森严	jbsy
即便如此	jbrc
记不清	jbqk
急不可耐	jbkn
近看	jbkj
揭不开锅	jbkg
久别重逢	jbif
金叉	jbia
绝不会	jbhv
金贵	jbgv
绝不放手	jbfu
金发	jbfa
见不得人	jbdr
记不得了	jbdl
禁播	jbbo
强有力	jyli
其心必异	jxby
强中自有强中手	jvzu
圈点	jrdm
其奈我何	jnwh
奇技淫巧	jjyq
其疾如风	jjrf
奇花异木	jhym
降龙	jlls
